,Country,City,AQI_Value,AQI_Category,CO_Value,CO_Category,Ozone_Value,Ozone_Category,NO2_Value,NO2_Category,PM25_Value,PM25_Category,VOCs,SO2,Emissions
22632,Portugal,Samora Correia,44,Good,1,Good,36,Good,2,Good,44,L0,118.9638172,5.115897622,L0
22633,Japan,Fujieda,46,Good,1,Good,46,Good,1,Good,41,L0,116.1806614,4.69399711,L0
22634,France,Eragny,48,Good,1,Good,19,Good,4,Good,48,L0,132.2026152,3.200231374,L0
22635,Brazil,Forquilhinha,45,Good,1,Good,18,Good,2,Good,45,L0,125.3049752,0.218759259,L0
22636,India,Guruvayur,68,Moderate,0,Good,25,Good,0,Good,68,L1,169.5545882,-1.570211777,L1
22637,Germany,Haltern,28,Good,0,Good,28,Good,2,Good,26,L0,81.14147694,2.735604204,L0
22638,United States of America,Holly Hill,43,Good,1,Good,,Good,6,Good,43,L0,104.1304396,8.889533962,L0
22639,India,Digras,137,Unhealthy for Sensitive Groups,1,Good,35,Good,0,Good,137,L2,360.7376206,6.65181872,L2
22640,United States of America,Enterprise,81,Moderate,2,Good,12,Good,8,Good,81,L1,199.508638,8.423090809,L1
22641,Greece,Florina,69,Moderate,1,Good,38,Good,3,Good,69,L1,181.0274961,-1.730780646,L1
22642,Hungary,Kapuvar,57,Moderate,1,,38,Good,1,Good,57,L1,145.6239086,6.414159313,L1
22643,United States of America,Greenwich,58,Moderate,1,Good,,Good,7,Good,58,L1,139.8310549,1.803962705,L1
22644,Germany,Grunstadt,35,Good,1,Good,35,Good,1,Good,28,L0,101.5091576,4.678683133,L0
22645,United Kingdom of Great Britain and Northern Ireland,Halifax,53,Moderate,0,Good,31,Good,1,Good,53,L1,131.3586819,4.760074349,L1
22646,Pakistan,Chak,166,Unhealthy,1,Good,46,Good,0,Good,166,L3,402.9992784,-1.981035999,L3
22647,Brazil,Lucelia,22,Good,1,Good,8,Good,1,Good,22,L0,31.17986637,4.587018577,L0
22648,Gambia,Lamin,153,Unhealthy,1,Good,24,Good,1,Good,153,L3,378.7495531,4.981311668,L3
22649,France,La Motte Servolex,64,Moderate,1,Good,32,Good,1,Good,64,L1,178.7590842,8.793173818,L1
22650,Indonesia,Krian,161,Unhealthy,3,Good,137,Unhealthy for Sensitive Groups,1,Good,161,L3,420.0773847,4.8156227,L3
22651,Russian Federation,Manturovo,50,Good,1,Good,29,Good,1,Good,50,L0,122.814016,3.493928361,L0
22652,,Peniche,30,Good,1,Good,30,Good,3,Good,19,L0,76.25545085,4.64982141,L0
22653,Libya,Darnah,53,Moderate,1,Good,53,Moderate,0,Good,33,L0,132.8508692,1.216070347,L0
22654,Nigeria,Wukari,91,Moderate,3,Good,19,Good,1,Good,91,L1,219.1656785,4.724761228,L1
22655,China,Ximei,167,Unhealthy,3,Good,167,Unhealthy,3,Good,97,L1,413.0116813,4.5317872,L1
22656,China,Yilan,46,Good,1,,46,Good,0,Good,46,L0,129.8114952,3.161384835,L0
22657,Mexico,Zacoalco,51,Moderate,1,Good,8,Good,4,Good,51,L1,137.5388787,12.53543609,L1
22658,Slovakia,Zvolen,69,Moderate,1,Good,42,Good,1,Good,69,L1,180.2308886,3.339622869,L1
22659,Brazil,Lavras,44,Good,1,Good,10,Good,2,Good,44,L0,101.6485339,6.237699966,L0
22660,France,Le Moule,101,Unhealthy for Sensitive Groups,0,Good,25,Good,0,Good,101,L2,258.5070321,2.15796443,L2
22661,France,Lievin,35,Good,0,Good,26,Good,2,Good,35,L0,69.46155031,0.462367824,L0
22662,Bangladesh,Madaripur,172,Unhealthy,2,Good,36,Good,4,Good,172,L3,443.4280269,5.47901149,L3
22663,Indonesia,Manggar,34,Good,0,,19,Good,0,Good,34,L0,92.58574901,5.846728052,L0
22664,Japan,Tondabayashi,47,Good,1,Good,47,Good,0,Good,21,L0,109.0476755,3.532662821,L0
22665,India,Turaiyur,61,Moderate,1,Good,27,Good,1,Good,61,L1,173.6642556,2.995327353,L1
22666,Armenia,Vanadzor,30,Good,1,Good,27,Good,0,Good,30,L0,62.03835341,2.626133168,L0
22667,France,Vandoeuvre Les Nancy,28,Good,1,Good,22,Good,3,Good,28,L0,80.30306182,-1.167400702,L0
22668,United States of America,Victorville,74,Moderate,2,Good,,Good,13,Good,74,L1,195.5517177,10.80045079,L1
22669,Cuba,Placetas,55,Moderate,1,Good,19,Good,3,Good,55,L1,130.1032956,1.565319646,L1
22670,Japan,Shibetsu,35,Good,0,Good,35,Good,0,Good,16,L0,92.12149309,9.347047648,L0
22671,Ghana,Suhum,84,Moderate,1,Good,18,Good,1,Good,84,L1,198.6317216,5.023529987,L1
22672,Brazil,Poco Verde,28,Good,0,Good,7,Good,1,Good,28,L0,46.53625684,9.029426946,L0
22673,Côte d'Ivoire,Tiassale,64,Moderate,1,Good,,Good,0,Good,64,L1,154.3212377,2.800286549,L1
22674,United States of America,Urbana,47,Good,1,,27,Good,9,Good,47,L0,116.3337506,0.13411212,L0
22675,Sweden,Varberg,40,Good,0,Good,40,Good,0,Good,20,L0,111.4425618,7.216138444,L0
22676,Russian Federation,Yurga,49,Good,1,Good,30,Good,0,Good,49,L0,128.1740809,0.99492892,L0
22677,Mexico,Zaragoza,49,Good,1,Good,20,Good,6,Good,49,L0,128.4354546,10.22768409,L0
22678,Uzbekistan,Zomin,153,Unhealthy,1,Good,40,Good,0,Good,153,L3,377.3557838,6.693568749,L3
22679,Germany,Werdohl,34,Good,1,Good,,Good,1,Good,26,L0,84.69988696,11.12231256,L0
22680,Germany,Witten,34,Good,1,Good,,Good,2,Good,27,L0,80.7007339,-1.082358992,L0
22681,China,Xingyi,78,Moderate,3,Good,37,Good,3,Good,78,L1,187.7502599,12.18255441,L1
22682,China,Xuanzhou,156,Unhealthy,3,Good,156,Unhealthy,3,Good,111,L2,389.0630057,3.68626416,L2
22683,Austria,Vocklabruck,38,Good,1,Good,24,Good,2,Good,38,L0,100.7451239,-8.182124751,L0
22684,United States of America,Waldorf,67,Moderate,2,Good,37,Good,5,Good,67,L1,166.7736148,10.07958349,L1
22685,Namibia,Omaruru,35,Good,0,Good,21,Good,0,Good,35,L0,89.26497331,1.967990318,L0
22686,Lithuania,Palanga,35,Good,1,,29,Good,1,Good,35,L0,99.44914811,8.612070271,L0
22687,Cyprus,Paralimni,58,Moderate,1,Good,57,Moderate,1,Good,58,L1,144.9924558,4.260064957,L1
22688,Germany,Lehrte,57,Moderate,1,Good,39,Good,3,Good,57,L1,134.1603337,3.907376079,L1
22689,China,Licheng,135,Unhealthy for Sensitive Groups,3,Good,16,Good,16,Good,135,L2,348.1345352,14.88851734,L2
22690,United States of America,Snellville,86,Moderate,3,Good,14,Good,24,Good,86,L1,222.6584965,7.991467772,L1
22691,India,Sojat,178,Unhealthy,1,Good,32,Good,1003.063334,Good,178,L3,453.286595,1.422498829,L3
22692,Philippines,Agoo,54,Moderate,0,Good,24,Good,1,Good,54,L1,146.2583866,1.558124422,L1
22693,Germany,Alpen,40,Good,1,Good,31,Good,2,Good,40,L0,109.5664153,4.588192767,L0
22694,Peru,Arequipa,57,Moderate,1,Good,4,Good,5,Good,57,L1,147.7872869,-10.4232656,L1
22695,Austria,Worgl,33,Good,1,Good,33,Good,1,Good,14,L0,111.4145266,6.255525816,L0
22696,China,Yingzhong,131,Unhealthy for Sensitive Groups,3,Good,131,Unhealthy for Sensitive Groups,1,Good,90,L1,319.6503125,14.19452267,L1
22697,China,Yunjinghong,21,Good,0,Good,21,Good,0,Good,13,L0,51.63582722,1.755056059,L0
22698,Colombia,Zarzal,73,Moderate,2,Good,3,Good,5,Good,73,L1,197.1733436,3.496211706,L1
22699,Germany,Trossingen,42,Good,1,Good,23,Good,2,Good,42,L0,111.4258629,5.738837593,L0
22700,Ukraine,Vesele,40,Good,1,,40,Good,0,Good,27,L0,112.5792303,12.51773695,L0
22701,Hungary,Veszprem,84,Moderate,1,Good,34,Good,2,Good,84,L1,216.6975643,6.145974311,L1
22702,Russian Federation,Vyritsa,31,Good,1,Good,31,Good,2,Good,22,L0,96.24056551,4.871868238,L0
22703,,Wajima,45,Good,1,Good,45,Good,0,Good,32,L0,107.4248914,1.847103757,L0
22704,Netherlands,Lisse,40,Good,1,Good,27,Good,5,Good,40,L0,118.4245989,-1.547482024,L0
22705,Viet Nam,Long Xuyen,53,Moderate,1,,24,Good,1003.063334,Good,53,L1,149.2099649,3.917037915,L1
22706,Germany,Kolkwitz,33,Good,0,Good,33,Good,1,Good,27,L0,75.39710886,2.207883803,L0
22707,Kyrgyzstan,Kyzyl Suu,40,Good,0,Good,31,Good,0,Good,40,L0,111.3066541,-7.660486332,L0
22708,India,Sagauli,253,Very Unhealthy,4,,166,Unhealthy,1,Good,253,L4,637.0696007,5.566081769,L4
22709,France,Sallanches,28,Good,1,Good,28,Good,0,Good,25,L0,68.93417981,9.594306309,L0
22710,Brazil,Queimados,151,Unhealthy,4,Good,16,Good,13,Good,151,L3,363.6138081,7.909652118,L3
22711,Brazil,Urussanga,43,Good,1,Good,13,Good,4,Good,43,L0,102.3918633,-8.479128659,L0
22712,Italy,Valenzano,49,Good,1,Good,49,Good,1,Good,37,L0,134.5811214,11.80587674,L0
22713,Belgium,Tremelo,37,Good,1,Good,30,Good,3,Good,37,L0,105.6384127,-0.657545388,L0
22714,Bolivia (Plurinational State of),Villazon,12,Good,0,Good,12,Good,0,Good,9,L0,32.89289519,-0.351336477,L0
22715,Switzerland,Zollikon,32,Good,1,Good,28,Good,1,Good,32,L0,93.16985143,9.111270609,L0
22716,Belgium,Zottegem,36,Good,1,Good,26,Good,3,Good,36,L0,104.4526008,0.089632752,L0
22717,Nigeria,Pindiga,64,Moderate,2,Good,19,Good,0,Good,64,L1,166.5463996,-4.249802841,L1
22718,United States of America,Saint Petersburg,54,Moderate,1,Good,21,Good,9,Good,54,L1,132.7766638,4.88782765,L1
22719,Guatemala,San Antonio Suchitepequez,103,Unhealthy for Sensitive Groups,3,Good,10,Good,12,Good,103,L2,266.9105411,11.38421077,L2
22720,Guatemala,San Cristobal Verapaz,74,Moderate,2,Good,5,Good,5,Good,74,L1,194.8698471,3.254447009,L1
22721,Brazil,Sao Jose,62,Moderate,2,Good,12,Good,1003.063334,Good,62,L1,166.7394439,4.985780934,L1
22722,Nepal,Siddharthanagar,135,Unhealthy for Sensitive Groups,3,Good,102,Unhealthy for Sensitive Groups,0,Good,135,L2,351.1540327,1.501018792,L2
22723,Morocco,Sidi Qasim,46,Good,2,Good,22,Good,6,Good,46,L0,106.3783543,0.622682092,L0
22724,Philippines,Surigao,53,Moderate,1,,22,Good,0,Good,53,L1,132.4007075,2.191613501,L1
22725,Egypt,Tahta,162,Unhealthy,1,Good,44,Good,2,Good,162,L3,391.0137865,7.043061145,L3
22726,Colombia,Tame,20,Good,1,Good,10,Good,0,Good,20,L0,62.46996038,4.288873715,L0
22727,United States of America,Tampa,67,Moderate,1,Good,13,Good,1003.063334,Good,67,L1,170.3768855,8.900246495,L1
22728,Russian Federation,Tashtagol,32,Good,1,Good,32,Good,0,Good,29,L0,89.30814071,12.06805488,L0
22729,United States of America,Somers Point,35,Good,1,Good,35,Good,1003.063334,Good,29,L0,77.74321252,8.232860851,L0
22730,Netherlands,Steenwijk,35,Good,0,,35,Good,1,Good,34,L0,106.5098085,-5.94981721,L0
22731,Poland,Kalisz,34,Good,1,Good,32,Good,1,Good,34,L0,78.05660835,2.381109821,L0
22732,Brazil,Independencia,22,Good,0,Good,10,Good,1,Good,22,L0,67.74563304,6.384978256,L0
22733,Norway,Honefoss,36,Good,1,Good,36,Good,1,Good,23,L0,96.17950171,3.202275272,L0
22734,China,Hutang,129,Unhealthy for Sensitive Groups,2,Good,129,Unhealthy for Sensitive Groups,4,Good,109,L2,325.6055722,-2.496704346,L2
22735,Germany,Halberstadt,38,Good,1,Good,38,Good,1,Good,26,L0,97.29839893,1.040105394,L0
22736,Peru,Nauta,32,Good,1,,1,Good,0,Good,32,L0,78.61936991,-7.562258585,L0
22737,Viet Nam,Nha Trang,65,Moderate,2,Good,30,Good,0,Good,65,L1,180.4519618,4.212521878,L1
22738,United States of America,Oklahoma City,53,Moderate,1,Good,26,Good,4,Good,53,L1,137.6261283,0.375393628,L1
22739,United States of America,Schererville,72,Moderate,2,Good,,Good,26,Good,72,L1,172.3077847,3.796770395,L1
22740,Belgium,Tervuren,44,Good,1,Good,25,Good,4,Good,44,L0,111.160398,9.707375857,L0
22741,Canada,Thetford Mines,40,Good,1,Good,40,Good,0,Good,22,L0,106.2833903,-2.857006782,L0
22742,India,Titagarh,183,Unhealthy,4,Good,106,Unhealthy for Sensitive Groups,4,Good,183,L3,471.4780528,5.608920844,L3
22743,Brazil,Simao Dias,35,Good,0,Good,,Good,2,Good,35,L0,86.45380279,-3.708812138,L0
22744,United States of America,Smithtown,72,Moderate,2,,40,Good,10,Good,72,L1,179.6222344,10.9566804,L1
22745,Malaysia,Sungai Besar,50,Good,1,Good,41,Good,1,Good,50,L0,130.2343213,9.4561861,L0
22746,,Taolanaro,30,Good,0,Good,30,Good,0,Good,9,L0,88.7342482,3.800376329,L0
22747,Russian Federation,Tarusa,41,Good,0,Good,,Good,2,Good,41,L0,93.81245464,3.541448013,L0
22748,Russian Federation,Bataysk,45,Good,1,Good,45,Good,2,Good,20,L0,122.5535463,-2.201691127,L0
22749,Monaco,Beausoleil,56,Moderate,1,Good,56,Moderate,1,Good,42,L0,140.3593747,4.795944934,L0
22750,Spain,Berga,40,Good,1,Good,40,Good,0,Good,35,L0,101.7556742,-1.809552068,L0
22751,United States of America,Caldwell,41,Good,1,Good,31,Good,1,Good,41,L0,127.5157575,4.005969771,L0
22752,Republic of North Macedonia,Cegrane,108,Unhealthy for Sensitive Groups,1,Good,39,Good,0,Good,108,L2,273.0353078,2.083257495,L2
22753,India,Chandigarh,166,Unhealthy,5,Good,,Good,27,Good,166,L3,427.5469375,8.029165585,L3
22754,Brazil,Embu Guacu,182,Unhealthy,9,Good,0,Good,29,Good,182,L3,467.1891384,18.3415118,L3
22755,Brazil,Esplanada,15,Good,0,Good,15,Good,1,Good,15,L0,30.69976086,5.386309504,L0
22756,Brazil,Angatuba,18,Good,1,Good,8,Good,1,Good,18,L0,31.54605675,12.67728459,L0
22757,Italy,Bagno A Ripoli,71,Moderate,1,Good,41,Good,3,Good,71,L1,190.7098209,6.554924688,L1
22758,Jordan,Madaba,144,Unhealthy for Sensitive Groups,3,Good,,Good,8,Good,144,L2,354.1645381,18.78994903,L2
22759,,Manzanillo,29,Good,1,Good,20,Good,1,Good,29,L0,60.85817045,4.804625185,L0
22760,Sri Lanka,Kilinochchi,59,Moderate,0,Good,28,Good,0,Good,59,L1,162.7616221,10.91943665,L1
22761,Paraguay,San Estanislao,56,Moderate,2,Good,3,Good,2,Good,56,L1,134.8057327,7.777920438,L1
22762,Italy,San Pietro In Casale,63,Moderate,1,Good,,Good,1,Good,63,L1,154.7748252,4.998947909,L1
22763,Italy,Treviso,73,Moderate,1,Good,41,Good,2,Good,73,L1,207.2437316,2.958860023,L1
22764,Russian Federation,Ugleuralskiy,33,Good,1,Good,33,Good,0,Good,32,L0,70.90264639,5.295504789,L0
22765,Ukraine,Ukrayinka,40,Good,1,Good,40,Good,1,Good,28,L0,92.43713959,5.957892495,L0
22766,Spain,Teruel,54,Moderate,1,Good,,Good,1,Good,54,L1,135.4030186,-3.287263969,L1
22767,United States of America,Texarkana,51,Moderate,2,Good,34,Good,4,Good,51,L1,130.0974316,9.100270269,L1
22768,United States of America,Torrance,86,Moderate,2,Good,13,Good,28,Good,86,L1,211.0625472,-1.819969063,L1
22769,Russian Federation,Krasnoye Selo,26,Good,1,Good,26,Good,4,Good,19,L0,58.41344903,7.305856768,L0
22770,Germany,Limburgerhof,62,Moderate,1,Good,61,Moderate,0,Good,62,L1,175.0999432,6.794767156,L1
22771,Guatemala,Almolonga,90,Moderate,3,Good,7,Good,11,Good,90,L1,232.6298612,14.50623763,L1
22772,Slovakia,Revuca,89,Moderate,1,Good,40,Good,0,Good,89,L1,233.3516874,-0.51051244,L1
22773,Sweden,Kristinehamn,32,Good,1,Good,32,Good,0,Good,13,L0,83.62774823,-1.13551299,L0
22774,Germany,Neu Ulm,60,Moderate,1,Good,35,Good,3,Good,60,L1,157.8945495,9.33629275,L1
22775,United States of America,Newark,67,Moderate,2,Good,21,Good,16,Good,67,L1,181.8290166,0.225803714,L1
22776,Germany,Oberndorf,59,Moderate,1,Good,39,Good,1,Good,59,L1,142.5370099,-2.06616654,L1
22777,Italy,Modica,65,Moderate,1,Good,42,Good,1,Good,65,L1,170.14836,4.843089547,L1
22778,Bosnia and Herzegovina,Mrkonjic Grad,62,Moderate,1,Good,38,Good,0,Good,62,L1,166.9604231,3.566542285,L1
22779,India,Pudur,32,Good,1,Good,28,Good,0,Good,32,L0,100.4479735,4.576776678,L0
22780,Mauritius,Rose Belle,40,Good,0,Good,30,Good,0,Good,40,L0,124.4789098,4.688633505,L0
22781,Myanmar,Sagaing,26,Good,1,Good,26,Good,0,Good,24,L0,70.69859797,6.51655154,L0
22782,Latvia,Rezekne,41,Good,1,Good,38,Good,0,Good,41,L0,118.8863895,3.410635698,L0
22783,China,Pingtung,130,Unhealthy for Sensitive Groups,2,Good,130,Unhealthy for Sensitive Groups,3,Good,89,L1,303.2983207,5.840766433,L1
22784,Russian Federation,Polyarnyye Zori,32,Good,1,Good,32,Good,0,Good,12,L0,100.5228291,3.465073655,L0
22785,Germany,Eutin,42,Good,1,Good,42,Good,0,Good,26,L0,102.7411634,3.976371791,L0
22786,India,Faridkot,163,Unhealthy,3,Good,108,Unhealthy for Sensitive Groups,5,Good,163,L3,410.0890255,0.46275548,L3
22787,United States of America,Fremont,52,Moderate,1,Good,38,Good,2,Good,52,L1,139.4110448,7.5819498,L1
22788,France,Narbonne,48,Good,1,Good,48,Good,0,Good,33,L0,123.4655763,9.045166895,L0
22789,India,Sonipat,216,Very Unhealthy,10,Good,26,Good,32,Good,216,L4,546.9645338,23.18714611,L4
22790,Germany,Grevesmuhlen,45,Good,1,Good,29,Good,2,Good,45,L0,133.3769297,6.602516179,L0
22791,India,Firozabad,169,Unhealthy,4,,164,Unhealthy,1,Good,169,L3,423.6577995,4.246994248,L3
22792,Hungary,Dunakeszi,63,Moderate,1,Good,63,Moderate,0,Good,57,L1,151.6307618,-3.276289625,L1
22793,Brazil,Piuma,29,Good,0,Good,26,Good,0,Good,29,L0,95.63463857,6.154463888,L0
22794,South Africa,Port Shepstone,39,Good,1,Good,29,Good,0,Good,39,L0,107.7676422,3.942842197,L0
22795,France,Saint Gratien,67,Moderate,1,Good,46,Good,1,Good,67,L1,191.7223898,4.647661916,L1
22796,Italy,San Bonifacio,84,Moderate,1,,51,Moderate,0,Good,84,L1,223.6362991,4.872458098,L1
22797,Guatemala,Santa Catarina Ixtahuacan,58,Moderate,1,Good,,Good,1,Good,58,L1,136.7640561,5.085263829,L1
22798,United States of America,River Edge,52,Moderate,1,Good,46,Good,2,Good,52,L1,141.4538467,7.032703673,L1
22799,United States of America,Roanoke Rapids,42,Good,1,Good,,Good,1,Good,42,L0,100.1605193,3.322858642,L0
22800,Kazakhstan,Petropavl,36,Good,1,Good,36,Good,0,Good,16,L0,95.07431802,-5.725467376,L0
22801,Mozambique,Chibuto,46,Good,1,Good,19,Good,0,Good,46,L0,119.242856,7.242027571,L0
22802,United States of America,Colorado Springs,68,Moderate,1,Good,20,Good,6,Good,68,L1,158.823362,6.687733132,L1
22803,United States of America,Copiague,64,Moderate,2,Good,17,Good,22,Good,64,L1,156.8718951,-0.873222811,L1
22804,Peru,Cutervo,31,Good,1,Good,8,Good,0,Good,31,L0,104.551873,-2.030233716,L0
22805,Spain,Colmenar Viejo,57,Moderate,1,Good,,Good,3,Good,57,L1,149.883774,8.214956366,L1
22806,Poland,Swinoujscie,45,Good,1,Good,35,Good,1,Good,45,L0,115.7440387,9.39536811,L0
22807,India,Surat,119,Unhealthy for Sensitive Groups,1,Good,28,Good,0,Good,119,L2,320.6289022,-9.518203156,L2
22808,Japan,Takaoka,60,Moderate,1,,54,Moderate,2,Good,60,L1,151.0376469,6.004215299,L1
22809,Tunisia,Talah,43,Good,1,Good,43,Good,0,Good,21,L0,111.5857964,2.696768248,L0
22810,United States of America,Hewitt,34,Good,1,Good,26,Good,2,Good,34,L0,99.90802856,4.17082116,L0
22811,Nigeria,Ikot Ekpene,87,Moderate,3,Good,39,Good,1,Good,87,L1,218.492642,8.056388994,L1
22812,United States of America,Ithaca,43,Good,1,Good,,Good,1003.063334,Good,43,L0,105.0347926,-0.010713635,L0
22813,Canada,Joliette,38,Good,1,Good,23,Good,1,Good,38,L0,77.46243585,7.063351343,L0
22814,Russian Federation,Kansk,35,Good,1,Good,35,Good,0,Good,20,L0,83.13501687,0.359252806,L0
22815,United Republic of Tanzania,Kasulu,25,Good,2,Good,14,Good,0,Good,25,L0,58.03972254,9.335064037,L0
22816,Pakistan,Dijkot,169,Unhealthy,2,Good,142,Unhealthy for Sensitive Groups,1,Good,169,L3,429.085667,10.44514577,L3
22817,India,Dumra,107,Unhealthy for Sensitive Groups,3,Good,,Moderate,1,Good,107,L2,266.3954173,3.039205081,L2
22818,Germany,Eisenberg,46,Good,1,Good,26,Good,3,Good,46,L0,141.5801901,-0.438596811,L0
22819,Madagascar,Andevoranto,24,Good,0,Good,24,Good,0,Good,16,L0,54.4237107,2.56827768,L0
22820,Slovakia,Bratislava,61,Moderate,1,Good,33,Good,2,Good,61,L1,171.5064669,11.31828303,L1
22821,Canada,Calgary,47,Good,1,Good,13,Good,8,Good,47,L0,124.6975296,0.836454879,L0
22822,Poland,Chodziez,30,Good,1,Good,30,Good,1,Good,30,L0,88.06774036,1.784017676,L0
22823,India,Belaguntha,159,Unhealthy,1,Good,48,Good,0,Good,159,L3,409.9601959,5.405360711,L3
22824,India,Bilari,500,Hazardous,4,Good,,Unhealthy,4,Good,457,L5,1232.817645,12.48390211,L5
22825,Chile,Curico,93,Moderate,3,Good,1,Good,10,Good,93,L1,237.3844732,10.03483666,L1
22826,Pakistan,Dadu,166,Unhealthy,1,Good,40,Good,0,Good,166,L3,417.3777186,3.961468093,L3
22827,China,Dalian,97,Moderate,4,Good,97,Moderate,5,Good,79,L1,236.1702191,7.672405126,L1
22828,Philippines,Dapitan,37,Good,1,Good,17,Good,0,Good,37,L0,102.0962604,5.459114033,L0
22829,,Forio,51,Moderate,1,Good,51,Moderate,1003.063334,Good,20,L0,149.6654032,-12.20284963,L0
22830,,Tiverton,32,Good,1,Good,24,Good,7,Good,32,L0,58.26996356,13.14626916,L0
22831,Japan,Tobetsu,45,Good,1,Good,25,Good,3,Good,45,L0,112.1553032,2.870970413,L0
22832,Poland,Tychy,104,Unhealthy for Sensitive Groups,2,Good,28,Good,8,Good,104,L2,252.5423384,6.511488739,L2
22833,Thailand,Ubon Ratchathani,46,Good,1,Good,,Good,0,Good,46,L0,120.7177783,14.29689906,L0
22834,India,Umarkot,159,Unhealthy,1,Good,31,Good,1,Good,159,L3,399.2437872,0.093445528,L3
22835,Brazil,Valente,30,Good,0,Good,11,Good,1,Good,30,L0,73.94322787,13.66058851,L0
22836,Cuba,Colon,53,Moderate,1,Good,20,Good,2,Good,53,L1,144.3950683,7.498305455,L1
22837,India,Rajakhera,250,Very Unhealthy,1,Good,39,Good,1,Good,250,L4,646.361813,6.032699847,L4
22838,Germany,Betzdorf,29,Good,1,Good,29,Good,3,Good,29,L0,104.1131865,7.019493474,L0
22839,Brazil,Pirai Do Sul,14,Good,0,Good,14,Good,0,Good,6,L0,32.60370952,-2.207424962,L0
22840,Italy,Porto Empedocle,65,Moderate,1,Good,40,Good,2,Good,65,L1,149.2912445,-4.444783428,L1
22841,Croatia,Sibenik,59,Moderate,1,Good,59,Moderate,0,Good,41,L0,158.0919643,-2.102318409,L0
22842,India,Sikandarabad,500,Hazardous,2,Good,42,Good,3,Good,500,L5,1271.104847,11.03708237,L5
22843,France,Auray,33,Good,0,Good,33,Good,0,Good,26,L0,95.63689967,-2.677857651,L0
22844,Nigeria,Afikpo,126,Unhealthy for Sensitive Groups,5,Good,22,Good,4,Good,126,L2,336.0634704,2.729508164,L2
22845,Japan,Amagi,53,Moderate,1,Good,53,Moderate,2,Good,33,L0,135.2451333,3.403416791,L0
22846,Russian Federation,Aprelevka,63,Moderate,1,Good,26,Good,10,Good,63,L1,156.4042556,6.673511654,L1
22847,United States of America,Springboro,84,Moderate,1,Good,41,Good,5,Good,84,L1,216.1543591,3.993256424,L1
22848,United States of America,Suamico,58,Moderate,2,Good,25,Good,7,Good,58,L1,146.6944681,8.631935151,L1
22849,China,Shulin,60,Moderate,1,Good,41,Good,2,Good,60,L1,161.6309402,9.575066888,L1
22850,United States of America,Colonial Heights,46,Good,1,Good,46,Good,1,Good,46,L0,129.6976778,6.656392912,L0
22851,India,Mandawar,166,Unhealthy,5,Good,29,Good,13,Good,166,L3,430.4808366,10.22973596,L3
22852,,Sorrento,61,Moderate,1,Good,45,Good,3,Good,61,L1,162.6059267,1.078411642,L1
22853,Portugal,Parede,36,Good,1,Good,36,Good,4,Good,17,L0,97.45822327,7.654023076,L0
22854,United States of America,Pittsburgh,53,Moderate,2,Good,36,Good,10,Good,53,L1,145.4442669,6.976571665,L1
22855,Romania,Belcesti,71,Moderate,1,Good,39,Good,1,Good,71,L1,162.8700809,-0.503832585,L1
22856,Mexico,Boca Del Rio,85,Moderate,2,Good,28,Good,4,Good,85,L1,219.6057075,12.11091103,L1
22857,Spain,Campo De Criptana,33,Good,1,Good,,Good,2,Good,33,L0,88.02478057,5.110815752,L0
22858,France,Vitre,42,Good,1,Good,30,Good,2,Good,42,L0,112.130804,7.064567382,L0
22859,Russian Federation,Volokonovka,33,Good,1,,33,Good,1003.063334,Good,15,L0,86.62376454,1.839907327,L0
22860,Russian Federation,Vyborg,30,Good,1,Good,30,Good,1,Good,14,L0,84.31855493,9.453575573,L0
22861,Germany,Worms,54,Moderate,1,Good,30,Good,3,Good,54,L1,134.2539708,-4.126791343,L1
22862,Germany,Xanten,39,Good,0,Good,32,Good,2,Good,39,L0,113.7952343,10.37748748,L0
22863,Brazil,Francisco Beltrao,17,Good,0,Good,17,Good,0,Good,12,L0,52.23649777,-7.694197301,L0
22864,Ukraine,Illintsi,70,Moderate,1,Good,42,Good,0,Good,70,L1,181.5068586,-3.083109328,L1
22865,Russian Federation,Dubinino,48,Good,1,Good,33,Good,0,Good,48,L0,118.0248343,5.059151189,L0
22866,Russian Federation,Enem,45,Good,1,Good,42,Good,4,Good,45,L0,125.6531689,1.146219336,L0
22867,Côte d'Ivoire,Biankouma,25,Good,1,Good,18,Good,0,Good,25,L0,69.56659698,2.158340514,L0
22868,Russian Federation,Bobrov,41,Good,1,Good,41,Good,0,Good,27,L0,99.94516606,1.144548096,L0
22869,Italy,Bresso,90,Moderate,1,Good,66,Moderate,0,Good,90,L1,229.4333846,-0.115376945,L1
22870,Venezuela (Bolivarian Republic of),Chivacoa,53,Moderate,1,,23,Good,0,Good,53,L1,143.7908262,5.384887272,L1
22871,Poland,Piekary Slaskie,83,Moderate,1,,40,Good,2,Good,83,L1,218.0157354,3.557191206,L1
22872,India,Srikakulam,97,Moderate,2,Good,42,Good,3,Good,97,L1,252.3700897,10.02417003,L1
22873,Cuba,San Antonio De Los Banos,54,Moderate,1,Good,20,Good,3,Good,54,L1,140.9253139,4.200859161,L1
22874,Germany,Sankt Ingbert,41,Good,1,Good,39,Good,2,Good,41,L0,117.7581953,1.715921798,L0
22875,Iran (Islamic Republic of),Sarab,44,Good,1,Good,40,Good,0,Good,44,L0,127.377965,7.672340944,L0
22876,Italy,Lauria,59,Moderate,1,Good,44,Good,2,Good,59,L1,159.8732262,-5.361187853,L1
